Longitud Sexa finca;Latitud Sexa finca;Municipio Finca;HORA INICIO TURNO;HORA FIN TURNO;FINCA;FECHA;lat_decimal;lon_decimal;fecha_dt;hora_inicio_turno_dt;hora_fin_turno_dt;fecha_clima;lat_key;lon_key;fecha_key;clima_fuente;clima_temp_promedio_dia_c;clima_temp_min_dia_c;clima_temp_max_dia_c;clima_precipitacion_dia_mm;clima_viento_promedio_dia_kmh;clima_presion_promedio_dia_hpa;clima_horas_validas_dia;clima_horas_lluvia_dia;clima_observacion_dia;clima_estado_dia;fue_lluvioso_dia;clima_imputado
75°46'31.6''W;5°26'22.5''N;Riosucio;6:00:00;14:00:00;12MANZA;04/03/2026;5.439583333;-75.77544444;04/03/2026;04/03/2026 6:00;04/03/2026 14:00;04/03/2026;5.43958;-75.77544;04/03/2026;Open-Meteo Archive;14.7;12.2;18.6;15.1;7.5;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°46'31.6''W;5°26'22.5''N;Riosucio;14:00:00;22:00:00;12MANZA;04/03/2026;5.439583333;-75.77544444;04/03/2026;04/03/2026 14:00;04/03/2026 22:00;04/03/2026;5.43958;-75.77544;04/03/2026;Open-Meteo Archive;14.7;12.2;18.6;15.1;7.5;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°34'23.0''W;3°41'39.8''N;Cumbre;6:00:00;14:00:00;32PORRA;05/03/2026;3.694388889;-76.57305556;05/03/2026;05/03/2026 6:00;05/03/2026 14:00;05/03/2026;3.69439;-76.57306;05/03/2026;Meteostat Daily;22.6;21;29;4.4;5.3;1013.8;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°34'23.0''W;3°41'39.8''N;Cumbre;14:00:00;22:00:00;32PORRA;05/03/2026;3.694388889;-76.57305556;05/03/2026;05/03/2026 14:00;05/03/2026 22:00;05/03/2026;3.69439;-76.57306;05/03/2026;Meteostat Daily;22.6;21;29;4.4;5.3;1013.8;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°34'23.0''W;3°41'39.8''N;Cumbre;6:00:00;14:00:00;32PORRA;05/03/2026;3.694388889;-76.57305556;05/03/2026;05/03/2026 6:00;05/03/2026 14:00;05/03/2026;3.69439;-76.57306;05/03/2026;Meteostat Daily;22.6;21;29;4.4;5.3;1013.8;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°16'49.6''W;4°25'45.8''N;Bolivar;6:00:00;14:00:00;35CAROL;05/03/2026;4.429388889;-76.28044444;05/03/2026;05/03/2026 6:00;05/03/2026 14:00;05/03/2026;4.42939;-76.28044;05/03/2026;Open-Meteo Archive;15.7;13.7;19.7;21.4;8.4;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°16'49.6''W;4°25'45.8''N;Bolivar;14:00:00;22:00:00;35CAROL;05/03/2026;4.429388889;-76.28044444;05/03/2026;05/03/2026 14:00;05/03/2026 22:00;05/03/2026;4.42939;-76.28044;05/03/2026;Open-Meteo Archive;15.7;13.7;19.7;21.4;8.4;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°46'31.6''W;5°26'22.5''N;Riosucio;6:00:00;14:00:00;12MANZA;05/03/2026;5.439583333;-75.77544444;05/03/2026;05/03/2026 6:00;05/03/2026 14:00;05/03/2026;5.43958;-75.77544;05/03/2026;Open-Meteo Archive;14.8;11.4;20.8;7.7;6.9;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°44'43.0''W;5°24'09.9''N;Riosucio;6:00:00;14:00:00;12ARGEN;05/03/2026;5.40275;-75.74527778;05/03/2026;05/03/2026 6:00;05/03/2026 14:00;05/03/2026;5.40275;-75.74528;05/03/2026;Open-Meteo Archive;14.8;11.3;20.7;7.7;6.9;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°31'18.7''W;3°03'37.9''N;Santander_Quilichao;14:00:00;22:00:00;25QUIRA;06/03/2026;3.060527778;-76.52186111;06/03/2026;06/03/2026 14:00;06/03/2026 22:00;06/03/2026;3.06053;-76.52186;06/03/2026;Open-Meteo Archive;21.4;18.2;27;31.3;12.7;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°34'23.0''W;3°41'39.8''N;Cumbre;6:00:00;14:00:00;32PORRA;06/03/2026;3.694388889;-76.57305556;06/03/2026;06/03/2026 6:00;06/03/2026 14:00;06/03/2026;3.69439;-76.57306;06/03/2026;Meteostat Daily;23.4;20;30;21.1;5.6;1013.8;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°34'23.0''W;3°41'39.8''N;Cumbre;6:00:00;14:00:00;32PORRA;06/03/2026;3.694388889;-76.57305556;06/03/2026;06/03/2026 6:00;06/03/2026 14:00;06/03/2026;3.69439;-76.57306;06/03/2026;Meteostat Daily;23.4;20;30;21.1;5.6;1013.8;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°34'23.0''W;3°41'39.8''N;Cumbre;14:00:00;22:00:00;32PORRA;06/03/2026;3.694388889;-76.57305556;06/03/2026;06/03/2026 14:00;06/03/2026 22:00;06/03/2026;3.69439;-76.57306;06/03/2026;Meteostat Daily;23.4;20;30;21.1;5.6;1013.8;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°28'02.8''W;3°45'08.8''N;Vijes;14:00:00;22:00:00;32SNRAF;06/03/2026;3.752444444;-76.46744444;06/03/2026;06/03/2026 14:00;06/03/2026 22:00;06/03/2026;3.75244;-76.46744;06/03/2026;Meteostat Daily;23.4;20;30;21.1;5.6;1013.8;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°25'45.2''W;4°02'52.2''N;Riofrio;6:00:00;14:00:00;31PALES;06/03/2026;4.047833333;-76.42922222;06/03/2026;06/03/2026 6:00;06/03/2026 14:00;06/03/2026;4.04783;-76.42922;06/03/2026;Open-Meteo Archive;15.5;14.1;17.8;26.1;8.1;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°25'45.2''W;4°02'52.2''N;Riofrio;14:00:00;22:00:00;31PALES;06/03/2026;4.047833333;-76.42922222;06/03/2026;06/03/2026 14:00;06/03/2026 22:00;06/03/2026;4.04783;-76.42922;06/03/2026;Open-Meteo Archive;15.5;14.1;17.8;26.1;8.1;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°16'49.6''W;4°25'45.8''N;Bolivar;6:00:00;14:00:00;35CAROL;06/03/2026;4.429388889;-76.28044444;06/03/2026;06/03/2026 6:00;06/03/2026 14:00;06/03/2026;4.42939;-76.28044;06/03/2026;Open-Meteo Archive;15.8;14.2;20.5;27.2;10.9;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°16'49.6''W;4°25'45.8''N;Bolivar;6:00:00;14:00:00;35CAROL;06/03/2026;4.429388889;-76.28044444;06/03/2026;06/03/2026 6:00;06/03/2026 14:00;06/03/2026;4.42939;-76.28044;06/03/2026;Open-Meteo Archive;15.8;14.2;20.5;27.2;10.9;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°31'18.7''W;3°03'37.9''N;Santander_Quilichao;6:00:00;14:00:00;25QUIRA;06/03/2026;3.060527778;-76.52186111;06/03/2026;06/03/2026 6:00;06/03/2026 14:00;06/03/2026;3.06053;-76.52186;06/03/2026;Open-Meteo Archive;21.4;18.2;27;31.3;12.7;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°46'31.6''W;5°26'22.5''N;Riosucio;6:00:00;14:00:00;12MANZA;06/03/2026;5.439583333;-75.77544444;06/03/2026;06/03/2026 6:00;06/03/2026 14:00;06/03/2026;5.43958;-75.77544;06/03/2026;Open-Meteo Archive;14.8;11.4;20.1;12.6;7.6;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°46'31.6''W;5°26'22.5''N;Riosucio;14:00:00;22:00:00;12MANZA;06/03/2026;5.439583333;-75.77544444;06/03/2026;06/03/2026 14:00;06/03/2026 22:00;06/03/2026;5.43958;-75.77544;06/03/2026;Open-Meteo Archive;14.8;11.4;20.1;12.6;7.6;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°28'02.8''W;3°45'08.8''N;Vijes;6:00:00;14:00:00;32SNRAF;06/03/2026;3.752444444;-76.46744444;06/03/2026;06/03/2026 6:00;06/03/2026 14:00;06/03/2026;3.75244;-76.46744;06/03/2026;Meteostat Daily;23.4;20;30;21.1;5.6;1013.8;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
75°44'24.4''W;5°25'08.7''N;Riosucio;6:00:00;14:00:00;12PINTA;06/03/2026;5.419083333;-75.74011111;06/03/2026;06/03/2026 6:00;06/03/2026 14:00;06/03/2026;5.41908;-75.74011;06/03/2026;Open-Meteo Archive;14.8;11.4;20.1;12.6;7.6;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°44'24.4''W;5°25'08.7''N;Riosucio;14:00:00;22:00:00;12PINTA;06/03/2026;5.419083333;-75.74011111;06/03/2026;06/03/2026 14:00;06/03/2026 22:00;06/03/2026;5.41908;-75.74011;06/03/2026;Open-Meteo Archive;14.8;11.4;20.1;12.6;7.6;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°31'18.7''W;3°03'37.9''N;Santander_Quilichao;14:00:00;22:00:00;25QUIRA;07/03/2026;3.060527778;-76.52186111;07/03/2026;07/03/2026 14:00;07/03/2026 22:00;07/03/2026;3.06053;-76.52186;07/03/2026;Open-Meteo Archive;22.1;17.9;29;7;11;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°28'02.8''W;3°45'08.8''N;Vijes;14:00:00;22:00:00;32SNRAF;07/03/2026;3.752444444;-76.46744444;07/03/2026;07/03/2026 14:00;07/03/2026 22:00;07/03/2026;3.75244;-76.46744;07/03/2026;Meteostat Daily;24.8;19;32;6.9;8.5;1012.3;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°34'23.0''W;3°41'39.8''N;Cumbre;6:00:00;14:00:00;32PORRA;07/03/2026;3.694388889;-76.57305556;07/03/2026;07/03/2026 6:00;07/03/2026 14:00;07/03/2026;3.69439;-76.57306;07/03/2026;Meteostat Daily;24.8;19;32;6.9;8.5;1012.3;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°34'23.0''W;3°41'39.8''N;Cumbre;14:00:00;22:00:00;32PORRA;07/03/2026;3.694388889;-76.57305556;07/03/2026;07/03/2026 14:00;07/03/2026 22:00;07/03/2026;3.69439;-76.57306;07/03/2026;Meteostat Daily;24.8;19;32;6.9;8.5;1012.3;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°34'23.0''W;3°41'39.8''N;Cumbre;6:00:00;14:00:00;32PORRA;07/03/2026;3.694388889;-76.57305556;07/03/2026;07/03/2026 6:00;07/03/2026 14:00;07/03/2026;3.69439;-76.57306;07/03/2026;Meteostat Daily;24.8;19;32;6.9;8.5;1012.3;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°25'07.7''W;4°03'46.6''N;Riofrio;6:00:00;14:00:00;31ALASK;07/03/2026;4.062944444;-76.41880556;07/03/2026;07/03/2026 6:00;07/03/2026 14:00;07/03/2026;4.06294;-76.41881;07/03/2026;Open-Meteo Archive;16.3;13;20.8;1.1;10.5;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°25'07.7''W;4°03'46.6''N;Riofrio;14:00:00;22:00:00;31ALASK;07/03/2026;4.062944444;-76.41880556;07/03/2026;07/03/2026 14:00;07/03/2026 22:00;07/03/2026;4.06294;-76.41881;07/03/2026;Open-Meteo Archive;16.3;13;20.8;1.1;10.5;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°16'49.6''W;4°25'45.8''N;Bolivar;6:00:00;14:00:00;35CAROL;07/03/2026;4.429388889;-76.28044444;07/03/2026;07/03/2026 6:00;07/03/2026 14:00;07/03/2026;4.42939;-76.28044;07/03/2026;Open-Meteo Archive;16.2;13.1;21.1;13.6;8.6;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°16'49.6''W;4°25'45.8''N;Bolivar;14:00:00;22:00:00;35CAROL;07/03/2026;4.429388889;-76.28044444;07/03/2026;07/03/2026 14:00;07/03/2026 22:00;07/03/2026;4.42939;-76.28044;07/03/2026;Open-Meteo Archive;16.2;13.1;21.1;13.6;8.6;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°31'18.7''W;3°03'37.9''N;Santander_Quilichao;6:00:00;14:00:00;25QUIRA;07/03/2026;3.060527778;-76.52186111;07/03/2026;07/03/2026 6:00;07/03/2026 14:00;07/03/2026;3.06053;-76.52186;07/03/2026;Open-Meteo Archive;22.1;17.9;29;7;11;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°28'02.8''W;3°45'08.8''N;Vijes;6:00:00;14:00:00;32SNRAF;07/03/2026;3.752444444;-76.46744444;07/03/2026;07/03/2026 6:00;07/03/2026 14:00;07/03/2026;3.75244;-76.46744;07/03/2026;Meteostat Daily;24.8;19;32;6.9;8.5;1012.3;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
75°44'24.4''W;5°25'08.7''N;Riosucio;6:00:00;14:00:00;12PINTA;07/03/2026;5.419083333;-75.74011111;07/03/2026;07/03/2026 6:00;07/03/2026 14:00;07/03/2026;5.41908;-75.74011;07/03/2026;Open-Meteo Archive;14.8;10.6;20.6;10.1;8.5;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°44'24.4''W;5°25'08.7''N;Riosucio;14:00:00;22:00:00;12PINTA;07/03/2026;5.419083333;-75.74011111;07/03/2026;07/03/2026 14:00;07/03/2026 22:00;07/03/2026;5.41908;-75.74011;07/03/2026;Open-Meteo Archive;14.8;10.6;20.6;10.1;8.5;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°46'31.6''W;5°26'22.5''N;Riosucio;6:00:00;14:00:00;12MANZA;07/03/2026;5.439583333;-75.77544444;07/03/2026;07/03/2026 6:00;07/03/2026 14:00;07/03/2026;5.43958;-75.77544;07/03/2026;Open-Meteo Archive;14.8;10.6;20.6;10.1;8.5;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°46'31.6''W;5°26'22.5''N;Riosucio;14:00:00;22:00:00;12MANZA;07/03/2026;5.439583333;-75.77544444;07/03/2026;07/03/2026 14:00;07/03/2026 22:00;07/03/2026;5.43958;-75.77544;07/03/2026;Open-Meteo Archive;14.8;10.6;20.6;10.1;8.5;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°31'18.7''W;3°03'37.9''N;Santander_Quilichao;6:00:00;14:00:00;25QUIRA;08/03/2026;3.060527778;-76.52186111;08/03/2026;08/03/2026 6:00;08/03/2026 14:00;08/03/2026;3.06053;-76.52186;08/03/2026;Open-Meteo Archive;21.1;18.4;26.7;42.4;11.4;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°31'18.7''W;3°03'37.9''N;Santander_Quilichao;14:00:00;22:00:00;25QUIRA;08/03/2026;3.060527778;-76.52186111;08/03/2026;08/03/2026 14:00;08/03/2026 22:00;08/03/2026;3.06053;-76.52186;08/03/2026;Open-Meteo Archive;21.1;18.4;26.7;42.4;11.4;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°34'23.0''W;3°41'39.8''N;Cumbre;6:00:00;14:00:00;32PORRA;08/03/2026;3.694388889;-76.57305556;08/03/2026;08/03/2026 6:00;08/03/2026 14:00;08/03/2026;3.69439;-76.57306;08/03/2026;Meteostat Daily;21.9;19;27;17.9;10;1013.6;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°34'23.0''W;3°41'39.8''N;Cumbre;6:00:00;14:00:00;32PORRA;08/03/2026;3.694388889;-76.57305556;08/03/2026;08/03/2026 6:00;08/03/2026 14:00;08/03/2026;3.69439;-76.57306;08/03/2026;Meteostat Daily;21.9;19;27;17.9;10;1013.6;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°28'02.8''W;3°45'08.8''N;Vijes;6:00:00;14:00:00;32SNRAF;08/03/2026;3.752444444;-76.46744444;08/03/2026;08/03/2026 6:00;08/03/2026 14:00;08/03/2026;3.75244;-76.46744;08/03/2026;Meteostat Daily;21.9;19;27;17.9;10;1013.6;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
76°16'49.6''W;4°25'45.8''N;Bolivar;6:00:00;14:00:00;35CAROL;08/03/2026;4.429388889;-76.28044444;08/03/2026;08/03/2026 6:00;08/03/2026 14:00;08/03/2026;4.42939;-76.28044;08/03/2026;Open-Meteo Archive;15.9;14.3;20.8;29.5;7.3;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°28'02.8''W;3°45'08.8''N;Vijes;14:00:00;22:00:00;32SNRAF;08/03/2026;3.752444444;-76.46744444;08/03/2026;08/03/2026 14:00;08/03/2026 22:00;08/03/2026;3.75244;-76.46744;08/03/2026;Meteostat Daily;21.9;19;27;17.9;10;1013.6;;;Dato diario obtenido correctamente;Lluvioso;Sí;No
75°46'31.6''W;5°26'22.5''N;Riosucio;6:00:00;14:00:00;12MANZA;08/03/2026;5.439583333;-75.77544444;08/03/2026;08/03/2026 6:00;08/03/2026 14:00;08/03/2026;5.43958;-75.77544;08/03/2026;Open-Meteo Archive;14.7;11.4;20;5.6;6.7;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°46'31.6''W;5°26'22.5''N;Riosucio;14:00:00;22:00:00;12MANZA;08/03/2026;5.439583333;-75.77544444;08/03/2026;08/03/2026 14:00;08/03/2026 22:00;08/03/2026;5.43958;-75.77544;08/03/2026;Open-Meteo Archive;14.7;11.4;20;5.6;6.7;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°44'24.4''W;5°25'08.7''N;Riosucio;6:00:00;14:00:00;12PINTA;08/03/2026;5.419083333;-75.74011111;08/03/2026;08/03/2026 6:00;08/03/2026 14:00;08/03/2026;5.41908;-75.74011;08/03/2026;Open-Meteo Archive;14.7;11.4;20;5.6;6.7;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°52'57.2''W;4°13'34.6''N;Sevilla;6:00:00;14:00:00;13SNGER;01/03/2026;4.226277778;-75.88255556;01/03/2026;01/03/2026 6:00;01/03/2026 14:00;01/03/2026;4.22628;-75.88256;01/03/2026;Open-Meteo Archive;16.3;11.9;22.4;12.2;6.6;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°52'57.2''W;4°13'34.6''N;Sevilla;14:00:00;22:00:00;13SNGER;01/03/2026;4.226277778;-75.88255556;01/03/2026;01/03/2026 14:00;01/03/2026 22:00;01/03/2026;4.22628;-75.88256;01/03/2026;Open-Meteo Archive;16.3;11.9;22.4;12.2;6.6;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
